neighbors[list]	SelectedFingers.2.0	Flexion.2.0	FlexionChange.2.0	Spread.2.0	SpreadChange.2.0	ThumbPosition.2.0	ThumbContact.2.0	SignType.2.0	Movement.2.0	RepeatedMovement.2.0	MajorLocation.2.0	MinorLocation.2.0	SecondMinorLocation.2.0	Contact.2.0	NonDominantHandshape.2.0	UlnarRotation.2.0
[blue;C_02_062,tree;A_01_002]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	OneHanded	nan	1	Neutral	Neutral	nan	0	nan	1
[fourth;H_03_004,blue;C_02_062,tree;A_01_002]	imrp	FullyOpen	0.0	1.0	0.0	Closed	0.0	OneHanded	nan	1	Neutral	Neutral	nan	0	nan	1
[bye;E_01_058,tree;A_01_002]	imrp	FullyOpen	1.0	1.0	0.0	Open	0.0	OneHanded	nan	1	Neutral	Neutral	nan	0	nan	1
[bye;E_01_058,tree;A_01_002,camcorder;E_03_021]	imrp	FullyOpen	0.0	1.0	0.0	Open	0.0	OneHanded	nan	1	Neutral	Neutral	nan	0	nan	0
[camcorder;E_03_021,tree;A_01_002]	imrp	FullyOpen	0.0	1.0	0.0	Open	0.0	OneHanded	Straight	1	Neutral	Neutral	nan	0	nan	1
[third;F_02_088,tree;A_01_002]	im	FullyOpen	0.0	1.0	0.0	Open	0.0	OneHanded	nan	1	Neutral	Neutral	nan	0	nan	1
[forest;G_01_038,tree;A_01_002]	imrp	FullyOpen	0.0	1.0	0.0	Open	0.0	OneHanded	Curved	1	Neutral	Neutral	nan	0	nan	1
[forest;G_01_038,tree;A_01_002]	imrp	FullyOpen	0.0	1.0	0.0	Open	0.0	OneHanded	nan	1	Neutral	Neutral	Neutral	0	nan	1
[night;A_01_003,english;A_01_011]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack	nan	1	flat_b	0
[night;A_01_003,english;A_01_011]	imrp	Flat	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack	nan	1	c	0
[night;A_01_003,warn;B_01_033]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack	nan	1	flat_b	0
[night;A_01_003,warn;B_01_033]	imrp	Flat	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack	nan	1	open_b	0
[hoe;G_01_007,night;A_01_003]	imrp	Flat	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	Palm	nan	1	flat_b	0
[hoe;G_01_007,night;A_01_003,pet_2;K_02_085]	imrp	Flat	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack	HandAway	1	flat_b	0
[night;A_01_003,pet_2;K_02_085]	imrp	Flat	1.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack	nan	1	flat_b	0
[breakdown;B_01_064,hamburger;A_01_004]	imrp	Curved	0.0	1.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	c	0
[breakdown;B_01_064,hamburger;A_01_004]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	curved_5	0
