neighbor_count	neighbors[list]	SelectedFingers.2.0	Flexion.2.0	FlexionChange.2.0	Spread.2.0	SpreadChange.2.0	ThumbPosition.2.0	ThumbContact.2.0	SignType.2.0	Movement.2.0	RepeatedMovement.2.0	MajorLocation.2.0	MinorLocation.2.0	SecondMinorLocation.2.0	Contact.2.0	NonDominantHandshape.2.0	UlnarRotation.2.0
2	[blue;C_02_062,tree;A_01_002]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	OneHanded		1	Neutral	Neutral		0		1
3	[blue;C_02_062,fourth;H_03_004,tree;A_01_002]	imrp	FullyOpen	0.0	1.0	0.0	Closed	0.0	OneHanded		1	Neutral	Neutral		0		1
2	[bye;E_01_058,tree;A_01_002]	imrp	FullyOpen	1.0	1.0	0.0	Open	0.0	OneHanded		1	Neutral	Neutral		0		1
3	[bye;E_01_058,camcorder;E_03_021,tree;A_01_002]	imrp	FullyOpen	0.0	1.0	0.0	Open	0.0	OneHanded		1	Neutral	Neutral		0		0
2	[camcorder;E_03_021,tree;A_01_002]	imrp	FullyOpen	0.0	1.0	0.0	Open	0.0	OneHanded	Straight	1	Neutral	Neutral		0		1
2	[third;F_02_088,tree;A_01_002]	im	FullyOpen	0.0	1.0	0.0	Open	0.0	OneHanded		1	Neutral	Neutral		0		1
2	[forest;G_01_038,tree;A_01_002]	imrp	FullyOpen	0.0	1.0	0.0	Open	0.0	OneHanded	Curved	1	Neutral	Neutral		0		1
2	[forest;G_01_038,tree;A_01_002]	imrp	FullyOpen	0.0	1.0	0.0	Open	0.0	OneHanded		1	Neutral	Neutral	Neutral	0		1
2	[english;A_01_011,night;A_01_003]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack		1	flat_b	0
2	[english;A_01_011,night;A_01_003]	imrp	Flat	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack		1	c	0
2	[night;A_01_003,warn;B_01_033]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack		1	flat_b	0
2	[night;A_01_003,warn;B_01_033]	imrp	Flat	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack		1	open_b	0
2	[hoe;G_01_007,night;A_01_003]	imrp	Flat	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	Palm		1	flat_b	0
