EntryID,LemmaID,Code,SelectedFingers.2.0,Flexion.2.0,FlexionChange.2.0,Spread.2.0,SpreadChange.2.0,ThumbPosition.2.0,ThumbContact.2.0,SignType.2.0,Movement.2.0,RepeatedMovement.2.0,MajorLocation.2.0,MinorLocation.2.0,SecondMinorLocation.2.0,Contact.2.0,NonDominantHandshape.2.0,UlnarRotation.2.0
tree,tree,A_01_002,imrp,FullyOpen,0.0,1.0,0.0,Open,0.0,OneHanded,,1,Neutral,Neutral,,0,,1
night,night,A_01_003,imrp,Flat,0.0,0.0,0.0,Open,0.0,AsymmetricalSameHandshape,Straight,1,Hand,PalmBack,,1,flat_b,0
hamburger,hamburger,A_01_004,imrp,Curved,0.0,0.0,0.0,Open,0.0,SymmetricalOrAlternating,Straight,0,Neutral,Neutral,Neutral,1,c,0
nephew,nephew,A_01_005,im,Flat,0.0,0.0,0.0,Closed,1.0,OneHanded,,1,Head,HeadAway,,0,,1
castle,castle,A_01_008,im,Curved,1.0,1.0,0.0,Closed,0.0,SymmetricalOrAlternating,Straight,1,Neutral,Neutral,Neutral,1,curved_v,0
humble,humble,A_01_009,i,FullyOpen,0.0,,,Closed,0.0,OneHanded,,0,Head,Mouth,,1,,0
cup,cup,A_01_010,imrp,Curved,0.0,0.0,0.0,Open,0.0,AsymmetricalDifferentHandshape,Straight,1,Hand,Palm,,1,B,0
english,english,A_01_011,imrp,Curved,0.0,0.0,0.0,Open,0.0,AsymmetricalSameHandshape,Straight,1,Hand,PalmBack,,1,c,0
eyeglasses,eyeglasses,A_01_012,i,Bent,0.0,,,Open,0.0,SymmetricalOrAlternating,Straight,1,Head,Eye,,1,bent_l,0
tie,tie,A_01_013,im,Flat,0.0,0.0,0.0,Closed,0.0,OneHanded,Curved,0,Body,Clavicle,TorsoMid,1,,0
dentist,dentist,A_01_014,imrp,FullyClosed,0.0,,0.0,Closed,1.0,OneHanded,Straight,1,Head,Mouth,,1,,0
sandwich,sandwich,A_01_015,imrp,Flat,0.0,0.0,0.0,Open,0.0,AsymmetricalDifferentHandshape,Straight,1,Head,HeadAway,HeadAway,0,B,0
monkey,monkey,A_01_016,imrp,Curved,1.0,1.0,0.0,Open,0.0,SymmetricalOrAlternating,,1,Body,Waist,,1,curved_5,0
chair,chair,A_01_017,im,FullyOpen,0.0,0.0,0.0,Closed,0.0,DominanceViolation,Straight,1,Hand,FingerBack,,1,DominanceConditionViolation,0
candy_1,candy_1,A_01_018,i,FullyOpen,0.0,,,Closed,0.0,OneHanded,,1,Head,CheekNose,,1,,1
wander,wander,A_01_019,i,FullyOpen,0.0,,,Closed,0.0,OneHanded,Z-shaped,0,Neutral,Neutral,Neutral,0,,0
scientist,scientist,A_01_020,t,,,,,Open,,SymmetricalOrAlternating,Circular,1,Neutral,Neutral,Neutral,0,a,0
parachute,parachute,A_01_021,imrp,FullyClosed,1.0,,1.0,Closed,1.0,SymmetryViolation,Straight,0,Hand,FingerTip,,0,1,0
